trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.5}",20,0,-46.468115299409874,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",25,1,-30.352268468174564,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.125}",25,0,-44.93928002435207,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.0625}",20,0,-0.8366081849852043,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.03125}",30,0,-50.20087898717366,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.015625}",25,0,-186.2023565846145,"{0: 18, 1: 0, 2: 2, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.0078125}",30,0,-35.96274885671243,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.00390625}",30,0,-21.48138579404872,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.001953125}",25,0,-66.92591939482706,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.0009765625}",25,0,27.709691564402828,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.00048828125}",20,0,19.387839608084313,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.000244140625}",20,0,25.66386616050752,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.0001220703125}",25,0,9.962285092489287,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 6.103515625e-05}",25,0,29.68930508185811,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 3.0517578125e-05}",25,3,1.7247326150521278,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.52587890625e-05}",30,2,41.42624408711542,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 7.62939453125e-06}",20,10,16.191186973055085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 3.814697265625e-06}",25,0,31.523834310955994,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.9073486328125e-06}",25,2,35.80664299812363,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 9.5367431640625e-07}",35,8,14.83973304891588,"{0: 26, 1: 0, 2: 0, 3: 1, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,17.043629993388866,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,31.342250910307904,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,5,1.1974361485697433,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,27.187882273206863,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,9.203923060380097,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,20.249804087353674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,9,23.760920216618803,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,22.36653284746683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,11,33.551433380689296,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,28.473198095959834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
